contract,experiment,clause_id,clause_type,risk_score,severity,deviation,confidence
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c003,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c004,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c005,Confidentiality,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c006,Confidentiality,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c007,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c008,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c009,Limitation of Liability,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c010,Return/Destruction,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c011,Governing Law,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c012,Confidentiality,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c013,Term & Survival,30,Low,False,0.72
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c014,Governing Law,30,Low,False,0.8200000000000001
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c015,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c016,Miscellaneous,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c017,Term & Survival,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c018,Miscellaneous,30,Low,False,0.62
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c019,Permitted Disclosures,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,baseline,c020,Confidentiality,30,Low,False,0.52
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c001,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c002,Miscellaneous,30,Low,False,0.35
sec.gov_Archives_edgar_data_1053374_000114420418062970_tv508217_ex-d2.htm,rules_only,c003,Confidentiality,30,Low,False,0.52
